Norm,Art,Ap,Sub,Nº,Descripció,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
RGC,9,1,,6,"TRANSPORTAR, EN EL VEHICLE RESSENYAT, UN NOMBRE DE PERSONES DE MANERA QUE S'AUGMENTA EN UN 50%  EL NOMBRE DE PLACES AUTORITZADES, EXCLÒS EL CONDUCTOR",200,200,200,L,N,0,,13614
RGC,9,1,,7,CIRCULAR DOS O MÉS PERSONES EN UN VMP  ,6,100,90,L,N,0,,19622
RGC,10,1,,1,TRANSPORTAR PERSONES EN UN LLOC DIFERENT DEL QUE TENEN DESTINAT I CONDICIONAT EN ELS VEHICLES ,6,100,90,L,N,0,,5768
RGC,10,3,,1,"PORTAR INSTAL.LADA UNA PROTECCIÓ DE LA CÀRREGA EN UN VEHICLE AUTORITZAT PER TRANSPORTAR SIMULTÀNIAMENT PERSONES I CÀRREGA, DE MANERA QUE LA CÀRREGA DESTORBA ELS SEUS OCUPANTS",6,100,90,L,N,0,,5769
RGC,10,3,,2,PORTAR INSTAL.LADA UNA PROTECCIÓ DE LA CÀRREGA EN UN VEHICLE AUTORITZAT PER TRANSPORTAR PERSONES I CÀRREGA DE MANERA QUE LA CÀRREGA POT DANYAR ELS OCUPANTS EN CAS DE SER PROJECTADA,6,100,90,L,N,0,,5770
RGC,10,4,,1,NO PORTAR INSTAL.LADA LA PROTECCIÓ DE LA CÀRREGA EN UN VEHICLE AUTORITZAT PER TRANSPORTAR SIMULTÀNIAMENT PERSONES I CÀRREGA,200,200,200,L,N,0,,18293
RGC,11,1,,1,"NO EFECTUAR, EL CONDUCTOR D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, UNA PARADA TAN A LA VORA COM SIGUI POSSIBLE DEL COSTAT DRET DE LA CALÇADA",6,100,90,L,N,0,,6090
RGC,11,1,,2,"EFECTUAR, EL CONDUCTOR D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, PARADES I ARRENCADES AMB SACSEJADES O MOVIMENTS BRUSCOS",6,100,90,L,N,0,,9866
RGC,11,1,,3,"REALITZAR, EL CONDUCTOR D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, ACTES QUE EL PODEN DISTREURE DURANT LA MARXA DEL VEHICLE",6,100,90,L,N,0,,9867
RGC,11,1,,4,"NO VETLLAR, EL CONDUCTOR I/O LA PERSONA ENCARREGADA D'UN TRANSPORT COL.LECTIU DE PERSONES, PER LA SEGURETAT DELS VIATGERS DURANT LA MARXA, LES PUJADES O LES BAIXADES",6,100,90,L,N,0,,9868
RGC,11,2,A,1,"DISTREURE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, EL CONDUCTOR DEL VEHICLE DURANT LA MARXA ",6,100,90,L,N,0,,9869
RGC,11,2,B,1,"ENTRAR O SORTIR DEL VEHICLE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, PER UN LLOC DIFERENT DEL QUE HI HA DESTINAT PER FER-HO",6,100,90,L,N,0,,9870
RGC,11,2,C,1,"ENTRAR AL VEHICLE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, QUAN S'HA AVISAT QUE ESTÀ COMPLET ",6,100,90,L,N,0,,9871
RGC,11,2,D,1,"DIFICULTAR INNECESÀRIAMENT EL PAS PER LLOCS DESTINATS AL TRÀNSIT DE PERSONES, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES",6,100,90,L,N,0,,9872
RGC,11,2,E,1,"PORTAR, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, QUALSEVOL ANIMAL EXCEPTE ELS CASOS AUTORITZATS ",6,100,90,L,N,0,,9873
RGC,11,2,F,1,"PORTAR MATERIES O OBJECTES PERILLOSOS, EL VIATGER D'UN VEHI CLE DE TRANSPORT COL.LECTIU DE PERSONES, EN CONDICIONS DIFE RENTS DE LES ESTABLERTES PER LA REGULACIÓ ESPECÍFICA",6,100,90,L,N,0,,9874
RGC,11,2,G,1,"DESATENDRE, EL VIATGER D'UN VEHICLE DE TRANSPORT COL.LECTIU DE PERSONES, LES INSTRUCCIONS QUE, SOBRE EL SERVEI, DONIN EL CONDUCTOR O LA PERSONA ENCARREGADA DEL VEHICLE",6,100,90,L,N,0,,9875
RGC,12,1,,1,"CIRCULAR, MÉS D'UNA PERSONA, EN UN CICLE FABRICAT PER A UNA SOLA PERSONA ",6,100,90,L,N,0,,5771
RGC,12,1,,2,CONDUIR UN CICLE TRANSPORTANT UN PASSATGER MENOR DE 7 ANYS SENSE TENIR L'EDAT REQUERIDA PER A FER-HO ,6,100,90,L,N,0,,5772
RGC,12,1,,3,CONDUIR UN CICLE TRANSPORTANT UN PASSATGER MENOR DE 7 ANYS SENSE TENIR INSTAL.LAT UN SEIENT ADDICIONAL HOMOLOGAT ,6,100,90,L,N,0,,5773
RGC,12,2,,2,"CIRCULAR, EL PASSATGER D'UN CICLOMOTOR O MOTOCICLETA, SENSE DUR UNA CAMA A CADA COSTAT DEL CICLOMOTOR O MOTOCICLETA NI AMB ELS PEUS RECOLZATS ALS REPOSAPEUS LATERALS",6,100,90,L,N,0,,5774
RGC,12,2,,3,"CIRCULAR, EL PASSATGER D'UN CICLOMOTOR O D'UNA MOTOCICLETA, A L'ENTREMIG DEL CONDUCTOR I EL MANILLAR ",6,100,90,L,N,0,,5775
RGC,12,2,,4,TRANSPORTAR EN UN CICLOMOTOR O UNA MOTOCICLETA UN PASSATGER MENOR DE 12 ANYS SENSE QUE CONCORRIN LES EXCEPCIONS REGLAMENTÀRIES,200,200,200,L,N,0,,13049
