Norm,Art,Ap,Sub,Nº,Descripció,Imp. mín.,Imp. màx.,Import,Bo,Ex,Punts,Esp.,Seq.
RGC,5,3,,1,"NO SENYALITZAR DE FORMA EFICAÇ UN OBSTACLE O PERILL CREAT A LA VIA, PER AVISAR QUE HI ÉS ",6,100,90,L,N,0,,5684
RGC,5,6,,1,"DETENIR, PARAR O ESTACIONAR UN VEHICLE DESTINAT A SERVEIS D'URGÈNCIA O ASSISTÈNCIA MECÀNICA EN LLOC DIFERENT DEL FIXAT PELS AGENTS DE L'AUTORITAT",6,100,90,L,N,0,,13607
RGC,6,,,2,LLENÇAR A LA VIA O A LES SEVES PROXIMITATS QUALSEVOL OBJECTE QUE POT POSAR EN PERILL LA SEGURETAT VIÀRIA ,200,200,200,L,N,0,,5687
RGC,6,1,,4,"LLENÇAR A LA VIA O A LES SEVES PROXIMITATS, UN USUARI NO CONDUCTOR, QUALSEVOL OBJECTE QUE PUGUI DONAR LLOC A LA PRODUCCIÓ D'INCENDIS",200,200,200,L,N,0,,14751
RGC,6,1,,5,"LLENÇAR, EL CONDUCTOR DEL VEHICLE, A LA VIA  O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI DONAR LLOC A LA PRODUCCIÓ D'INCENDIS",500,500,500,L,N,6,,21587
RGC,6,1,,6,"LLENÇAR, EL CONDUCTOR D'UN VEHICLE, A LA VIA O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI PRODUIR ACCIDENTS DE CIRCULACIÓ",500,500,500,L,N,6,,21588
RGC,6,1,,7,"LLENÇAR, EL PASSATGER DEL VEHICLE, A LA VIA O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI DONAR LLOC A LA PRODUCCIÓ D'INCENDIS",500,500,500,L,N,0,,21590
RGC,6,1,,8,"LLENÇAR, EL PASSATGER D'UN VEHICLE, A LA VIA O A LES SEVES IMMEDIACIONS QUALSEVOL OBJECTE QUE PUGUI PRODUIR ACCIDENTS DE CIRCULACIÓ",500,500,500,L,N,0,,21591
RGC,7,1,,3,"NO COL.LABORAR, EL CONDUCTOR DEL VEHICLE RESSENYAT, EN LES PROVES DE DETECCIÓ DE POSSIBLES DEFICIÈNCIES EN L'EMISSIÓ DE PERTORBACIONS ELECTROMAGNÈTIQUES, SOROLLS, GASOS O FUMS",6,100,90,L,N,0,,5757
RGC,7,1,,4,CIRCULAR AMB UN VEHICLE QUE EMET PERTORBACIONS ELECTROMAGNÈTIQUES ,200,200,200,L,N,0,,18593
RGC,7,1,,5,CIRCULAR AMB UN VEHICLE AMB NIVELLS D'EMISSIÓ DE SOROLLS SUPERIORS ALS LIMITS ESTABLERTS PER LES NORMES QUE REGULEN LA MATÈRIA,200,200,200,L,N,0,,18594
RGC,7,1,,6,CIRCULAR AMB UN VEHICLE EMETENT GASOS O FUMS EN VALORS SUPERIORS ALS LIMITS ESTABLERTS EN LES NORMES REGULA DORES DELS VEHICLES,200,200,200,L,N,0,,18595
RGC,7,2,,6,CIRCULAR AMB UN VEHICLE LLENÇANT FUMS QUE PODEN DIFICULTAR LA VISIBILITAT A ALTRES CONDUCTORS ,200,200,200,L,N,0,,18623
RGC,7,2,,7,"CIRCULAR AMB UN VEHICLE A MOTOR AMB L'ESCAPAMENT LLIURE, SENSE PORTAR INSTAL.LAT EL PRECEPTIU DISPOSITIU SILENCIADOR D'EXPLOSIONS O AMB UN SILENCIADOR INEFICAÇ",200,200,200,L,N,0,,18713
RGC,7,2,,8,"CIRCULAR AMB UN CICLOMOTOR AMB L'ESCAPAMENT LLIURE, SENSE PORTAR INSTAL.LAT EL PRECEPTIU DISPOSITIU SILENCIADOR D'EXPLOSIONS O AMB UN SILENCIADOR INEFICAÇ",200,200,200,L,N,0,,18714
RGC,9,1,,1,"TRANSPORTAR, EN EL VEHICLE RESSENYAT, UN NOMBRE DE PERSONES SUPERIOR AL DE PLACES AUTORITZADES ",6,100,90,L,N,0,,5764
RGC,9,1,,3,"NO TENIR, UN VEHICLE DE SERVEI PÚBLIC O AUTOBÚS, LA PLACA INTERIOR QUE ASSENYALA EL NOMBRE DE PLACES ",6,100,90,L,N,0,,5766
RGC,9,1,,4,TRANSPORTAR PERSONES I/O EQUIPATGES DE MANERA QUE SE EXCEDA LA MMA DEL VEHICLE ,6,100,90,L,N,0,,5767
